"","Standardized","V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","Long","Lat","lon","lat"
"179","Palermo",2257,34,"Palermo","Palermo","PROPN","SP","_",29,"conj","_","_",NA,NA,NA,NA,13.3612671,38.1156879
"180","Palermo",1680,7,"Palermo","Palermo","PROPN","SP","_",3,"obl","_","SpaceAfter=No",NA,NA,NA,NA,13.3612671,38.1156879
"181","Palermo",1988,43,"Palermo","Palermo","PROPN","SP","_",41,"obl","_","_",NA,NA,NA,NA,13.3612671,38.1156879
"182","Palermo",1409,20,"Palermo","Palermo","PROPN","SP","_",17,"obl","_","SpaceAfter=No",NA,NA,NA,NA,13.3612671,38.1156879
"183","Parigi",2980,5,"Parigi","Parigi","PROPN","SP","_",2,"nmod","_","_",NA,NA,NA,NA,-90.341655,38.648234
"184","Parigi",5528,15,"Parigi","Parigi","PROPN","SP","_",10,"nmod","_","_",NA,NA,NA,NA,-90.341655,38.648234
"185","Parigi",7740,9,"Parigi","Parigi","PROPN","SP","_",7,"obl","_","_",NA,NA,NA,NA,-90.341655,38.648234
"186","Parigi",3876,28,"Parigi","Parigi","PROPN","SP","_",22,"conj","_","_",NA,NA,NA,NA,-90.341655,38.648234
"187","Parigi",7669,46,"Parigi","Parigi","PROPN","SP","_",44,"obl","_","_",NA,NA,NA,NA,-90.341655,38.648234
"188","Parigi",289,3,"Parigi","Parigi","PROPN","SP","_",0,"root","_","_",NA,NA,NA,NA,-90.341655,38.648234
"189","Parigi",2611,52,"Parigi","Parigi","PROPN","SP","_",50,"obl","_","_",NA,NA,NA,NA,-90.341655,38.648234
