"","lon","lat"
"329",NA,NA
"330",NA,NA
"331",-5.0527125,50.2660471
"332",NA,NA
"333",-121.8748311,37.3092802
"334",11.8679709,43.2560349
"335",NA,NA
"336",NA,NA
"337",NA,NA
"338",NA,NA
"339",NA,NA
"340",NA,NA
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",NA,NA
"345",NA,NA
"346",NA,NA
"347",NA,NA
"348",NA,NA
"349",NA,NA
"350",NA,NA
"351",NA,NA
"352",NA,NA
"353",NA,NA
"354",NA,NA
"355",NA,NA
"356",NA,NA
"357",NA,NA
"358",NA,NA
"359",NA,NA
"360",NA,NA
"361",NA,NA
"362",NA,NA
"363",NA,NA
"364",NA,NA
"365",NA,NA
"366",NA,NA
"367",NA,NA
"368",NA,NA
"369",NA,NA
"370",NA,NA
"371",NA,NA
"372",NA,NA
"373",NA,NA
"374",NA,NA
"375",NA,NA
"376",NA,NA
"377",NA,NA
"378",-75.5276699,38.9108325
"379",-75.5276699,38.9108325
"380",-75.5276699,38.9108325
"381",-75.5276699,38.9108325
"382",-75.5276699,38.9108325
"383",NA,NA
"384",-97.566701,35.578466
"385",-97.566701,35.578466
"386",NA,NA
"387",NA,NA
"388",-97.566701,35.578466
"389",-97.566701,35.578466
"390",-97.566701,35.578466
"391",NA,NA
"392",-97.566701,35.578466
"393",-97.566701,35.578466
"394",-97.566701,35.578466
"395",-97.566701,35.578466
"396",-97.566701,35.578466
"397",NA,NA
"398",NA,NA
"399",NA,NA
"400",NA,NA
"401",NA,NA
"402",NA,NA
"403",NA,NA
"404",-98.05195,26.1703525
"405",-122.8016857,49.118058
"406",NA,NA
"407",-93.661715,45.2444776
"408",23.5014213,37.7408815
"409",NA,NA
"410",-97.8699694,37.940887
"411",NA,NA
"412",NA,NA
"413",NA,NA
"414",NA,NA
"415",NA,NA
"416",11.2186396,44.5967607
"417",NA,NA
"418",-73.9535902,40.7759942
"419",-79.6778628,44.3363864
"420",NA,NA
"421",33.919245,35.1149116
"422",33.919245,35.1149116
"423",NA,NA
"424",NA,NA
"425",NA,NA
"426",11.619787,44.8381237
"427",11.619787,44.8381237
"428",-74.1718188,40.5524923
"429",-74.1718188,40.5524923
"430",NA,NA
"431",-71.0581806,42.3669562
"432",NA,NA
"433",NA,NA
"434",NA,NA
"435",NA,NA
"436",-78.7550402,42.9266623
"437",11.2558136,43.7695604
"438",11.2558136,43.7695604
"439",11.2558136,43.7695604
"440",11.2558136,43.7695604
"441",NA,NA
"442",11.2558136,43.7695604
"443",11.2558136,43.7695604
"444",11.2558136,43.7695604
"445",-95.8134196,36.0454273
"446",2.213749,46.227638
"447",2.213749,46.227638
"448",2.213749,46.227638
"449",2.213749,46.227638
"450",2.213749,46.227638
"451",2.213749,46.227638
"452",2.213749,46.227638
"453",2.213749,46.227638
"454",13.5714285,41.2107299
"455",-3.7837117,52.1306607
"456",-3.7837117,52.1306607
"457",-97.7361535,30.356057
"458",-97.7361535,30.356057
"459",-97.7361535,30.356057
"460",-97.7361535,30.356057
"461",NA,NA
"462",NA,NA
"463",NA,NA
"464",NA,NA
"465",-82.568876,35.609611
"466",NA,NA
"467",NA,NA
"468",-82.568876,35.609611
"469",NA,NA
"470",-82.568876,35.609611
"471",NA,NA
"472",NA,NA
"473",NA,NA
"474",NA,NA
"475",NA,NA
"476",NA,NA
"477",NA,NA
"478",NA,NA
"479",-72.1137073,41.5481018
"480",-72.1137073,41.5481018
"481",NA,NA
"482",-72.1137073,41.5481018
"483",-72.1137073,41.5481018
"484",-72.1137073,41.5481018
"485",-72.1137073,41.5481018
"486",-72.1137073,41.5481018
"487",-72.1137073,41.5481018
"488",-72.1137073,41.5481018
"489",-72.1137073,41.5481018
"490",-72.1137073,41.5481018
"491",-72.1137073,41.5481018
"492",-90.2769475,38.6170132
"493",-73.9773917,41.5090373
"494",-73.9773917,41.5090373
"495",-73.9773917,41.5090373
"496",-73.9773917,41.5090373
"497",-73.9773917,41.5090373
"498",NA,NA
"499",-73.9773917,41.5090373
"500",-73.9773917,41.5090373
"501",-73.9773917,41.5090373
"502",-73.9773917,41.5090373
"503",-73.9773917,41.5090373
"504",-73.9773917,41.5090373
"505",-73.9773917,41.5090373
"506",-73.9773917,41.5090373
"507",-73.9773917,41.5090373
"508",-73.9773917,41.5090373
"509",-73.9773917,41.5090373
"510",-73.9773917,41.5090373
"511",-73.9773917,41.5090373
"512",-73.9773917,41.5090373
"513",-73.9773917,41.5090373
"514",-73.9773917,41.5090373
"515",-77.2272524,38.9223669
"516",-77.2272524,38.9223669
"517",NA,NA
"518",-77.2272524,38.9223669
"519",-77.2272524,38.9223669
"520",-77.2272524,38.9223669
"521",-77.2272524,38.9223669
"522",NA,NA
"523",NA,NA
"524",-77.2272524,38.9223669
"525",NA,NA
"526",-77.2272524,38.9223669
"527",-77.2272524,38.9223669
"528",-77.2272524,38.9223669
"529",NA,NA
"530",NA,NA
"531",NA,NA
"532",NA,NA
"533",NA,NA
"534",NA,NA
"535",NA,NA
"536",NA,NA
"537",NA,NA
"538",NA,NA
"539",NA,NA
"540",NA,NA
"541",NA,NA
"542",NA,NA
"543",NA,NA
"544",NA,NA
"545",-86.981491,34.604164
"546",-118.2946915,33.8812426
"547",-118.2946915,33.8812426
"548",-118.2946915,33.8812426
"549",-118.2946915,33.8812426
"550",-118.2946915,33.8812426
"551",-118.2946915,33.8812426
"552",-118.2946915,33.8812426
"553",-118.2946915,33.8812426
"554",-70.0013606,43.9085581
"555",13.7161918,45.7061268
"556",-93.546011,45.091065
"557",10.6115031,44.8897874
"558",10.6115031,44.8897874
"559",10.6115031,44.8897874
"560",10.6115031,44.8897874
"561",-77.597014,43.111304
"562",NA,NA
"563",NA,NA
"564",NA,NA
"565",NA,NA
"566",NA,NA
"567",NA,NA
"568",NA,NA
"569",NA,NA
"570",NA,NA
"571",NA,NA
"572",NA,NA
"573",-121.634323,37.145724
"574",-121.634323,37.145724
"575",NA,NA
"576",NA,NA
"577",NA,NA
"578",NA,NA
"579",-73.93582,40.7126976
"580",-73.93582,40.7126976
"581",-73.93582,40.7126976
"582",NA,NA
"583",-73.93582,40.7126976
"584",-73.93582,40.7126976
"585",-73.93582,40.7126976
"586",-73.93582,40.7126976
"587",-73.93582,40.7126976
"588",NA,NA
"589",NA,NA
"590",NA,NA
"591",-73.93582,40.7126976
"592",-73.93582,40.7126976
"593",-73.93582,40.7126976
"594",-73.93582,40.7126976
"595",-73.93582,40.7126976
"596",-73.93582,40.7126976
"597",-73.93582,40.7126976
"598",-73.93582,40.7126976
"599",-73.93582,40.7126976
"600",-73.93582,40.7126976
"601",-73.93582,40.7126976
"602",-73.93582,40.7126976
"603",-73.93582,40.7126976
"604",-73.93582,40.7126976
"605",-73.93582,40.7126976
"606",-73.93582,40.7126976
"607",35.21371,31.768319
"608",NA,NA
"609",-1.1743197,52.3555177
"610",-1.1743197,52.3555177
"611",-1.1743197,52.3555177
"612",-1.1743197,52.3555177
"613",-1.1743197,52.3555177
"614",-1.1743197,52.3555177
"615",-1.1743197,52.3555177
"616",-1.1743197,52.3555177
"617",-1.1743197,52.3555177
"618",-1.1743197,52.3555177
"619",-1.1743197,52.3555177
"620",-1.1743197,52.3555177
"621",-1.1743197,52.3555177
"622",-1.1743197,52.3555177
"623",-1.1743197,52.3555177
"624",NA,NA
"625",-1.1743197,52.3555177
"626",-8.24389,53.41291
"627",-8.24389,53.41291
"628",12.56738,41.87194
"629",12.56738,41.87194
"630",12.56738,41.87194
"631",-96.0269281,29.4330724
"632",-75.291727,43.07799
"633",-75.291727,43.07799
"634",NA,NA
"635",NA,NA
"636",NA,NA
"637",NA,NA
"638",NA,NA
"639",NA,NA
"640",NA,NA
"641",NA,NA
"642",-78.9016373,36.0458156
"643",-78.9016373,36.0458156
"644",NA,NA
"645",-78.9016373,36.0458156
"646",NA,NA
"647",-0.8255362,52.6289817
"648",NA,NA
"649",-87.9997617,42.2532905
"650",9.9169337,44.0756332
"651",-82.9800844,42.490726
"652",NA,NA
"653",NA,NA
"654",-0.1277583,51.5073509
"655",NA,NA
"656",-0.1277583,51.5073509
"657",-0.1277583,51.5073509
"658",-96.0010203,36.3682371
"659",9.9506484,44.2951567
"660",9.9506484,44.2951567
"661",9.9506484,44.2951567
"662",-74.1375093,39.9769127
"663",-74.1375093,39.9769127
"664",-74.1375093,39.9769127
"665",-74.1375093,39.9769127
"666",-74.1375093,39.9769127
"667",-74.1375093,39.9769127
"668",-74.1375093,39.9769127
"669",-74.1375093,39.9769127
"670",-96.7238075,40.867383
"671",-96.7238075,40.867383
"672",-96.7238075,40.867383
